recipe_name,ingredients,meal_type,nutrition_score,recipe_summary,tags
Vegetable Fried Rice,Rice;Carrots;Eggs;Soy Sauce;Cooking Oil,Lunch/Dinner,85,Wok-fried rice with carrots, scrambled eggs, and a light soy sauce drizzle.,High-Protein;Low-Waste
Egg Rice Bowl,Rice;Eggs;Soy Sauce;Cooking Oil,Breakfast/Lunch,75,Steamed rice bowl topped with seasoned scrambled eggs and a savory soy glaze.,Budget;Quick
Carrot Stir Fry,Rice;Carrots;Eggs;Cooking Oil,Lunch/Dinner,80,Sautéed carrot ribbons with scrambled egg ribbons served over warm rice.,Veggie;Waste-Prevention
Rice and Egg Curry,Rice;Eggs;Carrots;Onions;Cooking Oil,Lunch/Dinner,82,Mild egg curry cooked in a flavorful onion gravy served with steamed rice.,Comfort;Family
Vegetable Rice,Rice;Carrots;Eggs,Lunch/Dinner,78,One-pot rice cooked with diced fresh carrots and scrambled egg ribbons.,One-Pot;Easy
Egg Fried Rice,Rice;Eggs;Soy Sauce;Carrots;Cooking Oil,Lunch/Dinner,83,Classic egg fried rice seasoned with soy sauce and tossed with carrots.,Classic;Fast
Mixed Rice Bowl,Rice;Carrots;Eggs;Soy Sauce,Lunch/Dinner,84,Leftover steamed rice bowl topped with seasoned eggs, carrots, and a savory soy sauce glaze.,Zero-Waste;Balanced
Scrambled Eggs on Rice,Rice;Eggs;Cooking Oil,Breakfast,72,Creamy scrambled eggs served over a bed of warm steamed rice.,Breakfast;Quick
Carrot Ginger Soup,Carrots;Onions;Garlic;Cooking Oil,Lunch,70,A warm and creamy pureed soup made with carrots, fresh ginger, onions, and garlic.,Soup;Healthy
Chicken Fried Rice,Rice;Chicken;Eggs;Soy Sauce;Onions;Cooking Oil,Dinner,88,Wok-fried rice with chicken, eggs, carrots, and onions in soy sauce.,High-Protein;Comfort
Soy Glazed Chicken,Chicken;Soy Sauce;Garlic;Cooking Oil,Dinner,80,Pan-seared chicken breast glazed with a sweet and savory garlic-soy sauce reduction.,Protein;Savory
Egg and Tomato Stir Fry,Eggs;Tomatoes;Cooking Oil,Breakfast/Lunch,79,A classic sweet and savory stir-fry of fluffy scrambled eggs and fresh tomato wedges.,Quick;Fresh
Carrot Salad,Carrots;Soy Sauce,Lunch,65,A simple and crunchy grated carrot salad with a light soy sauce dressing.,Healthy;Salad
Boiled Eggs with Rice,Rice;Eggs,Breakfast,70,Simple boiled eggs served on top of plain steamed rice.,Simple;Budget
Garlic Rice,Rice;Garlic;Cooking Oil,Breakfast/Lunch,68,Fragrant jasmine rice stir-fried with golden crispy garlic bits.,Easy;Flavorful
Chicken and Rice,Rice;Chicken;Garlic;Cooking Oil,Dinner,85,Tender chicken pieces simmered with garlic and ginger, served over steamed rice.,Comfort;Protein
Steamed Rice,Rice,Breakfast/Lunch/Dinner,60,Perfectly steamed white rice, soft and fluffy.,Base;Staples
Onion and Egg Omelet,Eggs;Onions;Cooking Oil,Breakfast,74,A fluffy egg omelet loaded with finely chopped sautéed onions.,Quick;Easy
Tomato Egg Soup,Eggs;Tomatoes;Garlic,Lunch,76,A comforting Chinese-style egg drop soup with fresh tomatoes.,Soup;Comfort
Braised Chicken with Carrots,Chicken;Carrots;Soy Sauce;Onions;Garlic;Cooking Oil,Dinner,86,Slow-braised chicken and carrots in a rich garlic-soy gravy.,Dinner;Slow-Cook
Green Beans Stir Fry,Beans;Soy Sauce;Garlic;Cooking Oil,Lunch/Dinner,78,Sautéed green beans tossed in a savory soy-garlic glaze.,Side-Dish;Veggie
Chicken and Beans Stir Fry,Chicken;Beans;Soy Sauce;Cooking Oil,Dinner,84,Stir-fried chicken pieces and green beans in a savory soy sauce glaze.,Protein;Dinner
